izquierda,centro,derecha,accion
48,45,45,parar
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,45,parar
48,45,46,parar
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
46,1006,45,adelante
46,1007,45,adelante
46,1006,44,adelante
47,1007,44,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
47,1007,45,adelante
47,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
46,1006,45,adelante
46,1007,45,adelante
47,1006,45,adelante
46,1006,44,adelante
46,1006,44,adelante
47,1006,44,adelante
47,1006,44,adelante
47,1006,45,adelante
47,1007,44,adelante
48,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1006,45,adelante
47,1006,45,adelante
48,1007,46,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,45,parar
48,1007,46,adelante
47,1006,44,adelante
47,1007,45,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
47,1007,45,adelante
47,1007,45,adelante
46,1006,45,adelante
46,1006,44,adelante
46,1007,44,adelante
46,1007,44,adelante
47,1008,44,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
46,1007,45,adelante
47,1006,44,adelante
46,1006,44,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,46,parar
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1006,45,adelante
47,1007,46,adelante
47,1007,45,adelante
46,1007,45,adelante
47,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1006,45,adelante
47,1007,45,adelante
48,1007,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,46,adelante
47,1006,45,adelante
47,1007,46,adelante
47,1007,44,adelante
47,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
46,1007,46,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1006,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,46,adelante
47,1007,45,adelante
47,1006,44,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
954,1007,45,der
954,45,46,der_fuerte
954,46,45,der_fuerte
954,45,46,der_fuerte
954,45,46,der_fuerte
954,45,45,der_fuerte
954,45,45,der_fuerte
954,46,45,der_fuerte
954,1007,45,der
47,1007,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
